EAN_UPC_Code;Week_Date_Start;Retail Sales Price;ACV Weighted Distribution
33409;2020-06-21;10.0184741767068;69.3812963
33409;2020-06-28;10.0099923232226;70.69516348
33409;2020-07-05;10.0109651110605;72.44268709
33409;2020-07-12;10.0098258185071;74.09218534
33409;2020-07-19;10.0170342778721;71.75620687
33409;2020-07-26;10.0109527655099;71.3404132
33409;2020-08-02;10.0188420186477;71.15539916
34462;2020-06-21;28.9689377807961;52.99805466
34462;2020-06-28;28.9473006158835;56.01962813
34462;2020-07-05;28.9328066692212;56.2457252
34462;2020-07-12;28.8964018541375;52.42127536
34462;2020-07-19;25.3528738003886;55.54730816
34462;2020-07-26;28.9155695466624;53.82830328
34462;2020-08-02;28.9567714779111;54.26301455
34480;2020-06-21;29.0129406783113;42.10984005
34480;2020-06-28;28.9851474256932;47.48434545
34480;2020-07-05;28.9527136331341;47.92197024
34480;2020-07-12;28.9525171118778;44.45965782
34480;2020-07-19;25.3692913455134;49.01181915
34480;2020-07-26;28.9107326685993;47.07611934
34480;2020-08-02;28.972259791158;45.32418901
41738;2020-06-21;6.50286653010397;45.97022345
41738;2020-06-28;7.78021150828684;36.48521208
41738;2020-07-05;7.64938751814633;40.20784628
41738;2020-07-12;7.73336725097771;41.75684518
41738;2020-07-19;6.80537498878078;47.65442055
41738;2020-07-26;7.71520513423694;39.33146199
41738;2020-08-02;7.69855517039921;39.38072789
41753;2020-06-21;6.84575720436602;46.07348731
41753;2020-06-28;7.78544014875181;42.19918774
41753;2020-07-05;7.67178146468336;42.96016513
41753;2020-07-12;7.71949271451662;45.09426132
41753;2020-07-19;6.92818136102027;50.26696364
41753;2020-07-26;7.70578931129324;42.50053657
41753;2020-08-02;7.68213970921393;42.11939152
